,Date,Date (Month),Hurricane,Lat (N),Lat from 20,Long (W),Long from 80,Max_Wind,Month from 9,Start
148,18721022,10,1,23.4,3.3999999999999986,89.3,9.299999999999997,50,1, TS
149,18730601,6,0,24.2,4.199999999999999,78.8,1.2000000000000028,50,3, TS
150,18730813,8,1,13.9,6.1,25.0,55.0,50,1, TS
151,18730918,9,1,22.7,2.6999999999999993,89.9,9.900000000000006,70,0, HU
152,18730922,9,0,22.2,2.1999999999999993,86.1,6.099999999999994,50,0, TS
153,18730926,9,1,14.7,5.300000000000001,62.3,17.700000000000003,50,0, TS
154,18740702,7,0,25.8,5.800000000000001,85.1,5.099999999999994,50,2, TS
155,18740803,8,1,24.7,4.699999999999999,53.6,26.4,50,1, TS
156,18740829,8,1,13.6,6.4,34.5,45.5,50,1, TS
157,18740902,9,0,20.4,0.3999999999999986,94.6,14.599999999999994,50,0, TS
158,18740908,9,0,25.8,5.800000000000001,70.6,9.400000000000006,50,0, TS
159,18740925,9,1,17.5,2.5,86.4,6.400000000000006,50,0, TS
160,18741031,10,1,13.5,6.5,78.4,1.5999999999999943,50,1, TS
161,18750816,8,1,29.5,9.5,74.5,5.5,70,1, HU
162,18750901,9,1,10.5,9.5,36.0,44.0,50,0, TS
163,18750908,9,1,13.9,6.1,55.3,24.700000000000003,70,0, HU
164,18750924,9,0,23.4,3.3999999999999986,93.4,13.400000000000006,50,0, TS
165,18751007,10,1,23.7,3.6999999999999993,68.5,11.5,70,1, HU
166,18751012,10,1,27.3,7.300000000000001,74.8,5.200000000000003,50,1, TS
167,18760909,9,1,39.0,19.0,60.8,19.200000000000003,80,0, HU
168,18760912,9,1,17.7,2.3000000000000007,58.5,21.5,70,0, HU
169,18760916,9,0,19.0,1.0,57.8,22.200000000000003,50,0, TS
170,18760929,9,1,14.1,5.9,58.8,21.200000000000003,50,0, TS
171,18761012,10,1,12.0,8.0,79.0,1.0,50,1, TS
172,18770801,8,0,23.1,3.1000000000000014,72.1,7.900000000000006,50,1, TS
173,18770914,9,1,21.5,1.5,92.0,12.0,50,0, TS
174,18770916,9,1,25.5,5.5,50.5,29.5,70,0, HU
175,18770921,9,1,11.7,8.3,55.5,24.5,50,0, TS
176,18770924,9,0,21.2,1.1999999999999993,68.0,12.0,50,0, TS
177,18771013,10,0,27.0,7.0,48.0,32.0,50,1, TS
178,18771024,10,0,24.5,4.5,94.1,14.099999999999994,50,1, TS
179,18771128,11,0,23.2,3.1999999999999993,76.5,3.5,50,2, TS
180,18780701,7,0,25.4,5.399999999999999,87.3,7.299999999999997,50,2, TS
181,18780808,8,1,15.0,5.0,60.5,19.5,50,1, TS
182,18780819,8,1,35.5,15.5,60.5,19.5,80,1, HU
183,18780825,8,1,24.7,4.699999999999999,77.1,2.9000000000000057,50,1, TS
184,18780901,9,1,8.5,11.5,54.2,25.799999999999997,50,0, TS
185,18780912,9,1,12.5,7.5,45.0,35.0,70,0, HU
186,18780924,9,1,15.1,4.9,71.9,8.099999999999994,50,0, TS
187,18781009,10,1,23.5,3.5,91.3,11.299999999999997,50,1, TS
188,18781009,10,1,15.6,4.4,38.0,42.0,50,1, TS
189,18781013,10,1,16.6,3.3999999999999986,36.2,43.8,50,1, TS
190,18781018,10,1,17.2,2.8000000000000007,79.6,0.4000000000000057,50,1, TS
191,18781125,11,0,14.6,5.4,50.3,29.700000000000003,50,2, TS
192,18790809,8,1,31.5,11.5,77.0,3.0,50,1, TS
193,18790813,8,1,19.0,1.0,58.0,22.0,50,1, TS
194,18790819,8,1,16.7,3.3000000000000007,81.1,1.0999999999999943,60,1, TS
195,18790829,8,1,23.5,3.5,88.5,8.5,50,1, TS
196,18791003,10,0,14.5,5.5,77.6,2.4000000000000057,50,1, TS
197,18791009,10,0,14.2,5.800000000000001,56.0,24.0,50,1, TS
198,18791024,10,1,20.2,0.1999999999999993,84.6,4.599999999999994,50,1, TS
199,18791118,11,1,21.7,1.6999999999999993,73.5,6.5,60,2, TS
200,18800621,6,0,26.7,6.699999999999999,86.5,6.5,50,3, TS
201,18800804,8,1,16.0,4.0,59.8,20.200000000000003,50,1, TS
202,18800815,8,1,14.1,5.9,58.8,21.200000000000003,50,1, TS
203,18800824,8,1,24.7,4.699999999999999,57.5,22.5,50,1, TS
204,18800826,8,1,19.5,0.5,42.5,37.5,50,1, TS
205,18800906,9,1,23.9,3.8999999999999986,88.6,8.599999999999994,50,0, TS
206,18800908,9,1,32.0,12.0,73.5,6.5,80,0, HU
207,18800927,9,1,23.2,3.1999999999999993,43.5,36.5,50,0, TS
208,18801005,10,1,18.2,1.8000000000000007,85.1,5.099999999999994,50,1, TS
209,18801010,10,1,23.9,3.8999999999999986,65.3,14.700000000000003,70,1, HU
210,18801020,10,0,27.1,7.100000000000001,75.3,4.700000000000003,50,1, TS
211,18810801,8,0,23.0,3.0,85.5,5.5,50,1, TS
212,18810811,8,0,25.6,5.600000000000001,88.7,8.700000000000003,50,1, TS
213,18810811,8,1,16.0,4.0,31.0,49.0,80,1, HU
214,18810816,8,1,20.2,0.1999999999999993,87.0,7.0,50,1, TS
215,18810821,8,1,17.6,2.3999999999999986,57.0,23.0,60,1, TS
216,18810907,9,1,23.7,3.6999999999999993,69.0,11.0,70,0, HU
217,18810918,9,0,35.3,15.299999999999997,68.0,12.0,50,0, TS
218,18820824,8,1,37.5,17.5,52.0,28.0,70,1, HU
219,18820902,9,1,19.5,0.5,67.5,12.5,50,0, TS
220,18820914,9,0,26.5,6.5,91.5,11.5,50,0, TD
221,18820921,9,0,28.5,8.5,76.8,3.200000000000003,50,0, TS
222,18820924,9,1,30.3,10.3,76.8,3.200000000000003,50,0, TS
223,18821005,10,1,14.2,5.800000000000001,81.6,1.5999999999999943,50,1, TS
224,18830818,8,1,19.2,0.8000000000000007,48.5,31.5,50,1, TS
225,18830824,8,1,22.7,2.6999999999999993,58.5,21.5,70,1, HU
226,18830904,9,1,14.0,6.0,57.9,22.1,110,0, HU
227,18831022,10,0,27.5,7.5,77.6,2.4000000000000057,50,1, TS
228,18840901,9,1,38.5,18.5,62.5,17.5,70,0, HU
229,18840903,9,1,11.0,9.0,41.5,38.5,50,0, TS
230,18840910,9,1,28.7,8.7,79.1,0.9000000000000057,50,0, TS
231,18841007,10,1,16.2,3.8000000000000007,76.6,3.4000000000000057,50,1, TS
232,18850807,8,1,24.1,4.100000000000001,58.1,21.9,50,1, TS
233,18850821,8,1,21.2,1.1999999999999993,67.0,13.0,50,1, TS
234,18850829,8,0,25.0,5.0,93.4,13.400000000000006,50,1, TS
235,18850917,9,1,21.2,1.1999999999999993,95.5,15.5,50,0, TS
236,18850918,9,1,15.0,5.0,53.7,26.299999999999997,50,0, TS
237,18850924,9,1,26.4,6.399999999999999,87.8,7.799999999999997,50,0, TS
238,18850926,9,1,24.2,4.199999999999999,55.7,24.299999999999997,50,0, TS
239,18851010,10,0,23.9,3.8999999999999986,83.0,3.0,50,1, TS
240,18860613,6,1,23.2,3.1999999999999993,95.7,15.700000000000003,50,3, TS
241,18860617,6,1,19.1,0.8999999999999986,84.8,4.799999999999997,50,3, TS
242,18860627,6,1,18.3,1.6999999999999993,79.7,0.29999999999999716,50,3, TS
243,18860714,7,1,18.9,1.1000000000000014,82.9,2.9000000000000057,50,2, TS
244,18860812,8,1,10.5,9.5,58.0,22.0,50,1, TS
245,18860815,8,1,14.6,5.4,54.5,25.5,55,1, TS
246,18860820,8,1,31.7,11.7,71.0,9.0,50,1, TS
247,18860916,9,1,21.0,1.0,65.5,14.5,50,0, TS
248,18860922,9,1,22.9,2.8999999999999986,66.7,13.299999999999997,50,0, TS
249,18861008,10,1,19.9,0.10000000000000142,82.5,2.5,50,1, TS
250,18861010,10,0,29.1,9.100000000000001,60.5,19.5,50,1, TS
251,18861021,10,0,17.8,2.1999999999999993,73.0,7.0,50,1, TS
252,18870515,5,0,29.3,9.3,63.8,16.200000000000003,50,4, TS
253,18870517,5,0,15.6,4.4,76.9,3.0999999999999943,50,4, TS
254,18870611,6,0,20.5,0.5,84.0,4.0,50,3, TD
255,18870720,7,1,12.0,8.0,57.6,22.4,60,2, TS
256,18870730,7,0,9.9,10.1,50.1,29.9,50,2, TS
257,18870814,8,1,17.0,3.0,59.0,21.0,50,1, TS
258,18870818,8,1,18.0,2.0,60.0,20.0,50,1, TS
259,18870901,9,1,28.1,8.100000000000001,53.7,26.299999999999997,50,0, TS
260,18870911,9,1,13.3,6.699999999999999,57.0,23.0,50,0, TS
261,18870914,9,1,23.0,3.0,53.7,26.299999999999997,50,0, TS
262,18871006,10,0,19.7,0.3000000000000007,84.7,4.700000000000003,50,1, TS
263,18871008,10,0,21.0,1.0,74.1,5.900000000000006,50,1, TS
264,18871009,10,1,19.1,0.8999999999999986,59.7,20.299999999999997,50,1, TS
265,18871010,10,1,28.2,8.2,39.0,41.0,50,1, TS
266,18871015,10,1,14.0,6.0,48.0,32.0,70,1, HU
267,18871029,10,0,26.5,6.5,86.0,6.0,50,1, TS
268,18871127,11,1,22.1,2.1000000000000014,67.0,13.0,50,2, TS
269,18871204,12,1,19.2,0.8000000000000007,54.1,25.9,50,3, TS
270,18871207,12,0,12.5,7.5,58.5,21.5,50,3, TS
271,18880616,6,1,27.5,7.5,93.2,13.200000000000003,50,3, TS
272,18880704,7,0,26.0,6.0,94.4,14.400000000000006,50,2, TS
273,18880814,8,1,23.0,3.0,71.0,9.0,50,1, TS
274,18880831,8,1,19.3,0.6999999999999993,60.3,19.700000000000003,60,1, TS
275,18880906,9,0,23.5,3.5,71.7,8.299999999999997,50,0, TS
276,18880923,9,1,24.3,4.300000000000001,81.0,1.0,50,0, TS
277,18881008,10,1,21.7,1.6999999999999993,93.4,13.400000000000006,50,1, TS
278,18881101,11,0,12.3,7.699999999999999,59.9,20.1,50,2, TS
279,18881117,11,1,23.2,3.1999999999999993,56.0,24.0,50,2, TS
280,18890516,5,1,21.5,1.5,64.1,15.900000000000006,50,4, TS
281,18890615,6,1,19.8,0.1999999999999993,83.7,3.700000000000003,50,3, TS
282,18890819,8,1,16.8,3.1999999999999993,69.2,10.799999999999997,50,1, TS
283,18890901,9,1,11.9,8.1,55.0,25.0,50,0, TS
284,18890902,9,1,15.9,4.1,42.9,37.1,50,0, TS
285,18890912,9,1,15.7,4.300000000000001,59.5,20.5,50,0, TS
286,18890912,9,0,15.2,4.800000000000001,25.7,54.3,50,0, TS
287,18890929,9,0,11.3,8.7,52.0,28.0,50,0, TS
288,18891005,10,0,20.0,0.0,82.5,2.5,50,1, TD
289,18900527,5,0,20.5,0.5,83.0,3.0,50,4, TD
290,18900818,8,0,14.0,6.0,62.0,18.0,50,1, TS
291,18900826,8,1,16.6,3.3999999999999986,54.3,25.700000000000003,85,1, HU
292,18901031,10,1,14.3,5.699999999999999,80.3,0.29999999999999716,80,1, HU
293,18910703,7,1,21.7,1.6999999999999993,93.0,13.0,50,2, TS
294,18910817,8,1,13.3,6.699999999999999,24.4,55.6,50,1, TS
295,18910818,8,1,13.3,6.699999999999999,58.0,22.0,90,1, HU
296,18910902,9,1,19.3,0.6999999999999993,58.2,21.799999999999997,50,0, TS
297,18910916,9,1,19.3,0.6999999999999993,46.5,33.5,50,0, TS
298,18910929,9,1,20.7,0.6999999999999993,54.6,25.4,50,0, TS
299,18911004,10,0,15.0,5.0,79.0,1.0,50,1, TS
300,18911007,10,0,18.0,2.0,85.0,5.0,50,1, TD
301,18911012,10,1,12.5,7.5,61.3,18.700000000000003,50,1, TS
302,18911103,11,0,24.1,4.100000000000001,73.8,6.200000000000003,50,2, TS
303,18920609,6,0,20.8,0.8000000000000007,83.1,3.0999999999999943,50,3, TS
304,18920815,8,1,18.0,2.0,54.5,25.5,50,1, TS
305,18920903,9,1,11.5,8.5,33.0,47.0,50,0, TS
306,18920908,9,0,22.0,2.0,92.8,12.799999999999997,50,0, TS
307,18920912,9,1,15.3,4.699999999999999,19.5,60.5,50,0, TS
308,18920925,9,0,19.5,0.5,92.2,12.200000000000003,50,0, TS
309,18921005,10,1,11.5,8.5,56.2,23.799999999999997,50,1, TS
310,18921013,10,1,26.0,6.0,71.2,8.799999999999997,50,1, TS
311,18921021,10,0,23.0,3.0,92.6,12.599999999999994,50,1, TS
312,18930612,6,1,20.5,0.5,95.2,15.200000000000003,50,3, TS
313,18930704,7,1,11.1,8.9,79.2,0.7999999999999972,50,2, TS
314,18930813,8,1,9.6,10.4,50.5,29.5,50,1, TS
315,18930815,8,1,14.0,6.0,36.5,43.5,50,1, TS
316,18930815,8,1,32.2,12.200000000000003,60.4,19.6,50,1, TS
317,18930815,8,1,18.1,1.8999999999999986,20.2,59.8,50,1, TS
318,18930820,8,1,11.8,8.2,27.2,52.8,50,1, TS
319,18930904,9,1,18.4,1.6000000000000014,85.3,5.299999999999997,50,0, TS
320,18930925,9,1,11.6,8.4,25.0,55.0,50,0, TS
321,18930927,9,1,16.4,3.6000000000000014,81.7,1.7000000000000028,50,0, TS
322,18931020,10,0,18.0,2.0,82.0,2.0,50,1, TD
323,18931105,11,0,26.7,6.699999999999999,70.8,9.200000000000003,50,2, TS
324,18940606,6,0,19.0,1.0,77.4,2.5999999999999943,50,3, TS
325,18940805,8,0,26.4,6.399999999999999,89.3,9.299999999999997,50,1, TS
326,18940830,8,1,13.2,6.800000000000001,34.8,45.2,50,1, TS
327,18940918,9,1,13.4,6.6,50.5,29.5,50,0, TS
328,18941001,10,1,12.5,7.5,79.1,0.9000000000000057,50,1, TS
329,18941011,10,1,10.8,9.2,57.7,22.299999999999997,50,1, TS
330,18941021,10,1,21.0,1.0,60.3,19.700000000000003,50,1, TS
331,18950814,8,0,27.2,7.199999999999999,91.3,11.299999999999997,50,1, TS
332,18950822,8,1,13.4,6.6,58.3,21.700000000000003,50,1, TS
333,18950928,9,0,19.3,0.6999999999999993,86.0,6.0,50,0, TS
334,18951002,10,0,17.4,2.6000000000000014,82.9,2.9000000000000057,50,1, TS
